id	layer	check	verdict	subject	evidence	autofix	action
P4-379bde	provenance	P4	NICHT PRUEFBAR	source guide version	no `?version=` recorded in the run log or the harvest manifest	-	record the pinned, PUBLISHED guide version like the source commit SHA (spec 5.1c.3)
R1-32a7b3	rendering	R1	NICHT PRUEFBAR	rendered output	no built site under output	-	build the IG (step 7); rendering integrity is not a property of the sources
R2-9639ec	rendering	R2	NICHT PRUEFBAR	rendered output	no built site under output	-	build the IG (step 7); rendering integrity is not a property of the sources
R3-f02a27	rendering	R3	NICHT PRUEFBAR	rendered output	no built site under output	-	build the IG (step 7); rendering integrity is not a property of the sources
R4-84ad62	rendering	R4	IDENTISCH	template example links	none, over 1 token(s) from template-artifacts.tsv (verified against template package 1.3.2)	-	-
R5-de10c7	rendering	R5	IDENTISCH	input/translations/de/ImplementationGuide-mii-ig-onko.po	a translated unit for every one of the 22 page titles	-	-
L0-28d3e4	log	L0	IDENTISCH	./migration-log/run.log	166 parsed lines, 1 runs	-	-
L1-72b929	log	L1	IDENTISCH	silent-partial-success WARNs	the log carries none across 166 lines	-	-
L2-0e48db	log	L2	IDENTISCH	1 preflight-analysis	present in the log	-	-
L2-5e1c48	log	L2	IDENTISCH	pre.2 classify-source-shape	present in the log	-	-
L2-4fd559	log	L2	IDENTISCH	pre.5 toolchain	present in the log	-	-
L2-541189	log	L2	IDENTISCH	5.1 source-inventory	present in the log	-	-
L2-9a6da6	log	L2	IDENTISCH	2.1 read-identity	present in the log	-	-
L2-23b069	log	L2	IDENTISCH	2.1 package-identity	present in the log	-	-
L2-7163a2	log	L2	IDENTISCH	2.1 repo-identity	present in the log	-	-
L2-07bdbb	log	L2	NICHT PRUEFBAR	5.1c simplifier-discover	no line in the log; the step is conditional (no rendered-IG URL was supplied)	-	confirm the condition did not hold -- Without the discovery chain the guide is not found, and a migration then ships the template's starter pages.
L2-930ba2	log	L2	NICHT PRUEFBAR	5.1d guide-harvest	no line in the log; the step is conditional (the narrative is not in the repository)	-	confirm the condition did not hold -- This is the step whose absence shipped the template's starter pages under a module's name.
L2-666ef6	log	L2	IDENTISCH	5.2 skeleton-vendored	present in the log	-	-
L2-200a9d	log	L2	IDENTISCH	5.2 sushi-skeleton	present in the log	-	-
L2-9a700e	log	L2	IDENTISCH	5.3 transfer-artefacts	present in the log	-	-
L2-8fadca	log	L2	IDENTISCH	5.4 fql-scan	present in the log	-	-
L2-ec69ec	log	L2	NICHT PRUEFBAR	5.4a optional-page-decisions	no line in the log; the step is conditional (target template >= v0.8)	-	confirm the condition did not hold -- The seven OPTIONAL (0..1) pages must each be decided — keep (banner + marker deleted, both languages) or remove per the template's procedure (spec §9a); the template's M9 fails a module release while undecided, and a migration with no line here silently shipped seven "decide me" banners.
L2-b6ec8c	log	L2	NICHT PRUEFBAR	5.4b security-privacy-decision	no line in the log; the step is conditional (target template >= v0.8)	-	confirm the condition did not hold -- Stage 3 of security-and-privacy: module aspects written or the default text adopted, and the scaffold's Person example + ILLUSTRATIVE-EXAMPLE marker deleted in both languages (spec §9a); the template's M11 fails a release branch while it is present.
L2-254dc3	log	L2	IDENTISCH	5.4c page-routing	present in the log	-	-
L2-21c0ec	log	L2	IDENTISCH	5.4d derived-scan	present in the log	-	-
L2-a85d96	log	L2	NICHT PRUEFBAR	5.5 gen-page-title-po	no line in the log; the step is conditional (bilingual target)	-	confirm the condition did not hold -- Page titles fall back to the default language with no error anywhere.
L2-619c38	log	L2	IDENTISCH	5.6 sushi-build	present in the log	-	-
L2-a60619	log	L2	IDENTISCH	5.6 ig-publisher	present in the log	-	-
L2-d8144d	log	L2	IDENTISCH	5.6a sibling-skill-check	present in the log	-	-
L2-3b5912	log	L2	IDENTISCH	11 verify-migration	present in the log	-	-
L3-117415	log	L3	DIVERGIERT	identity field dependency:de.basisprofil.r4	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.basisprofil.r4 now=1.5.4 (tier R, sushi-config.yaml + registry res…	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-e74aae	log	L3	DIVERGIERT	identity field dependency:de.medizininformatikinitiative.kerndatensatz.base	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.medizininformatikinitiative.kerndatensatz.base now=2026.0.1 (tier …	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-b02d70	log	L3	DIVERGIERT	identity field dependency:de.medizininformatikinitiative.kerndatensatz.biobank	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.medizininformatikinitiative.kerndatensatz.biobank now=2026.0.1 (ti…	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-525d25	log	L3	DIVERGIERT	identity field dependency:de.medizininformatikinitiative.kerndatensatz.medikation	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.medizininformatikinitiative.kerndatensatz.medikation now=2026.0.1 …	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-dce37c	log	L3	DIVERGIERT	identity field dependency:de.medizininformatikinitiative.kerndatensatz.meta	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.medizininformatikinitiative.kerndatensatz.meta now=2026.0.0 (tier …	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-b2c4cd	log	L3	DIVERGIERT	identity field dependency:de.medizininformatikinitiative.kerndatensatz.molgen	1 unresolved contradiction WARN(s), first at 2026-08-22T19:43:18Z: identity-contradiction: field=dependency:de.medizininformatikinitiative.kerndatensatz.molgen now=2026.0.4 (tie…	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-fac1a0	log	L3	DIVERGIERT	identity field title	2 unresolved contradiction WARN(s), first at 2026-08-22T19:41:44Z: identity-contradiction: field=title now=MII Kerndatensatz Modul Onkologie (tier R, README.md first heading) vs…	-	unresolved at verification time. It is a Gate-A decision, never a precedence puzzle to settle mechanically -- record it with a `decision:` line naming the field
L3-8766f8	log	L3	IDENTISCH	identity ledger	migration-log/identity-claims.tsv present, 31 claim(s)	-	-
L4-106e61	log	L4	NICHT PRUEFBAR	conversion count	no `gofsh-convert … actual=` line in the log	-	shape B only; for shape A there is nothing to convert
L4-f17740	log	L4	NICHT PRUEFBAR	page count	no harvested count in the log and/or no harvest manifest	-	harvest the guide (step 2c) where the narrative is not in the repo
L4-40cf60	log	L4	NICHT PRUEFBAR	artifact count	no rendered artifacts.html to count	-	build the IG (step 7)
